ISO_CODE,ISO_NAME,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
BHS,Bahamas (the),16.35136,16.20411,18.64136,20.23286,15.62081,18.65059,15.40758,16.66007,17.44938,16.04964,14.75715,14.77453,11.8843,9.05336,9.195942,8.023698,8.31071,8.908712,9.254265,9.978035,10.06096,9.60667,8.260903,7.719015,8.21332,9.273034,10.29577,9.828314,9.286809,8.601613,7.917781,8.132799,8.009544,8.836581,8.74614,8.418121,8.501515,8.948948,9.000017,8.956758,9.534158,10.16242,10.04085,10.89833,10.91866,11.21067,11.26406
BHR,Bahrain,13.88623,13.52943,15.57252,18.76391,21.07203,20.53569,20.95061,21.67564,21.52651,21.63168,20.89506,21.53326,21.9964,24.35118,22.31124,25.72644,29.25203,27.38059,27.13574,26.02562,26.079,24.79222,25.20324,24.51165,23.99637,23.61157,23.93747,24.63573,25.30435,24.6002,23.8848,23.80992,23.75615,23.02651,18.23695,18.56156,17.04845,18.31248,16.57318,15.85016,15.51296,15.3797,15.18164,16.2092,16.77476,17.41699,17.10377
BGD,Bangladesh,0.047865,0.046668,0.048063,0.056287,0.059156,0.068966,0.072272,0.072087,0.075413,0.081726,0.089576,0.084881,0.089743,0.082234,0.083508,0.094899,0.102586,0.112542,0.11544,0.122374,0.127123,0.116094,0.128154,0.132086,0.140488,0.167934,0.167684,0.177946,0.178771,0.186279,0.197502,0.229346,0.236867,0.244433,0.247841,0.267734,0.279816,0.300578,0.337216,0.363917,0.392606,0.387577,0.39027,0.40274,0.413429,0.442645,0.456909
BRB,Barbados,2.046588,2.038733,2.258017,2.529894,2.042556,2.620724,2.419649,2.55443,2.74146,2.470999,2.460494,2.560258,2.481766,2.61845,3.023561,3.311888,3.713875,3.973147,3.622413,3.699807,3.700117,3.88107,3.854347,3.454988,3.347926,3.420943,3.459068,3.739036,4.042213,4.132953,4.465077,4.396362,4.377406,4.428048,4.432446,4.374422,4.289454,4.429204,4.355092,4.363065,4.525519,4.777975,4.700923,5.100407,5.159882,5.327294,5.408587
BLR,Belarus,7.246289,7.208989,7.683005,8.26115,8.625215,9.494237,9.56962,9.906701,10.03384,10.44342,10.52809,10.85359,10.72734,10.70433,10.50045,10.40861,10.43157,10.28829,10.1726,9.702852,10.60419,10.22722,9.229187,7.973981,6.808836,6.157013,6.241785,6.276652,6.174957,5.966565,5.821517,5.72604,5.777495,5.878862,6.451302,6.595137,7.095175,6.773706,7.087204,6.85744,7.438661,6.962201,7.058723,7.093549,7.050651,6.293902,6.609248
BEL,Belgium,14.48616,13.38289,14.53231,14.9882,14.82355,13.02333,13.9801,13.67609,14.10056,15.02685,13.89205,12.67132,11.87588,10.88364,11.15656,10.90017,10.94734,10.94694,11.15691,11.24299,11.48821,11.92368,11.63776,11.40772,11.79562,11.81755,12.32235,11.99039,12.28796,11.77829,11.85222,11.81872,11.03801,11.74084,11.3471,10.92195,10.58676,10.14001,10.41467,9.33825,9.946639,8.962264,8.440513,8.474506,7.978163,8.256059,8.309019
BLZ,Belize,1.811437,1.746181,2.093621,2.261587,2.090903,2.297684,1.936529,2.292691,2.261019,2.16238,2.351983,1.735475,1.577259,1.569873,1.722424,1.721179,2.222703,2.456549,1.979823,2.329616,2.655813,2.779927,2.573594,2.415063,2.402946,2.428319,2.366721,3.011921,2.679694,2.88672,2.823369,3.216676,3.00512,2.920729,2.911301,2.786096,2.74184,2.77276,2.664159,2.717397,2.941125,2.862523,2.807674,3.025278,3.001478,3.057075,3.035708
BEN,Benin,0.105464,0.119822,0.150281,0.151618,0.151738,0.166163,0.10767,0.122936,0.127452,0.139148,0.142264,0.115013,0.129998,0.124652,0.124343,0.142792,0.124252,0.109257,0.095797,0.081551,0.078288,0.066315,0.069805,0.06824,0.066996,0.066004,0.175243,0.216328,0.202115,0.216229,0.223852,0.261176,0.292901,0.318531,0.329436,0.350707,0.469043,0.519134,0.500346,0.522442,0.547873,0.556627,0.557411,0.576641,0.607195,0.594631,0.602175
BMU,Bermuda,4.994569,4.947606,6.877874,7.036134,6.033839,8.120432,6.540024,7.295087,6.644527,6.003031,6.471304,6.617026,6.529137,7.449165,7.768748,6.646432,6.909488,7.493343,10.27331,12.33,8.786453,7.808575,6.272229,6.260206,6.511521,6.603486,6.843485,6.082449,5.90474,5.902331,6.754806,6.970222,6.912192,7.177703,7.452992,7.201651,7.143622,6.922136,7.125818,7.245066,7.752442,8.510851,8.580693,9.49807,9.703655,10.15839,10.36226
BTN,Bhutan,2.293051,2.213501,1.671206,2.107257,2.113587,2.012174,1.72518,0.887616,1.726454,1.233367,1.496458,1.445591,1.407842,1.671047,1.505043,1.445909,1.259717,1.116326,1.115215,1.229583,1.367181,1.375352,1.273967,1.166487,1.616597,1.441913,1.460561,1.611362,1.512904,1.499478,1.06885,1.0709,0.916201,0.880223,0.929732,0.92712,1.006513,1.066487,1.140819,1.495351,1.601906,1.832434,1.812962,1.908384,1.985287,2.01379,2.107894
BOL,Bolivia (Plurinational State of),0.656074,0.786259,0.907848,0.83435,0.780847,0.875097,0.965002,0.915553,1.012113,0.898173,0.866815,0.907875,0.933876,0.934565,0.847048,0.794588,0.740181,0.756903,0.7824,0.892215,0.928716,0.946089,0.998343,1.148273,1.210121,1.094467,1.041153,1.111565,1.064429,0.991894,0.983529,0.904085,0.946668,1.013138,1.069877,1.128929,1.195897,1.275432,1.365227,1.417374,1.527831,1.625905,1.659401,1.652869,1.760164,1.782769,1.785663
